城市名称,AQI值,总人口,面积,人口密度,环境环保,人文底蕴,气候,美食
贺州,16.0,2007858,11720.0,171.3189,47.0,125.0,0.0,13.0
资阳,20.0,356405,581.1,613.3282,6.0,16.0,1.0,3.0
赣州,36.0,8970014,39364.0,227.8735,21.0,76.0,2.0,9.0
赤峰,22.0,4035967,87032.0,46.3734,38.0,41.0,1.0,12.0
辽源,13.0,996903,5138.0,194.0255,40.0,22.0,0.0,16.0
辽阳,25.0,1604580,4710.0,340.6752,14.0,38.0,1.0,0.0
达州,15.0,5385422,16454.0,327.3017,17.0,31.0,1.0,7.0
运城,33.0,4774508,14183.0,336.636,16.0,148.0,0.0,4.0
连云港,14.0,4599360,7560.0,608.381,31.0,49.0,1.0,8.0
迪庆,,387511,23192.0,16.7088,51.0,77.0,4.0,11.0
通化,11.0,1812114,15542.0,116.5946,39.0,35.0,4.0,5.0
通辽,27.0,2873168,58863.0,48.8111,36.0,15.0,0.0,5.0
遂宁,25.0,2814196,5278.0,533.1936,10.0,52.0,3.0,13.0
遵义,26.0,6606675,30767.0,214.7325,74.0,108.0,4.0,16.0
邢台,28.0,7111106,12434.0,571.9082,19.0,62.0,1.0,4.0
那曲,,504838,353010.0,1.4301,37.0,17.0,1.0,1.0
邵阳,30.0,6563520,20822.0,315.2204,31.0,26.0,2.0,2.0
郑州,25.0,12600574,7565.0,1665.641,76.0,203.0,2.0,29.0
郴州,20.0,4667134,19337.0,241.3577,65.0,15.0,1.0,10.0
鄂尔多斯,15.0,2153638,87097.0,24.7269,79.0,62.0,0.0,7.0
鄂州,23.0,1079353,1589.0,679.2656,10.0,33.0,0.0,2.0
酒泉,,1055706,167680.0,6.296,32.0,195.0,1.0,9.0
重庆,26.0,32054159,82403.0,388.9926,82.0,293.0,3.0,25.0
金华,,7050683,10935.0,644.7813,60.0,201.0,6.0,23.0
金昌,27.0,438026,7575.3,57.8229,12.0,30.0,1.0,2.0
钦州,34.0,3302238,10903.0,302.8743,35.0,35.0,1.0,4.0
铁岭,17.0,2388294,12983.0,183.9555,19.0,38.0,1.0,3.0
铁门关,,104746,1872.0,55.9541,0.0,10.0,0.0,1.0
铜仁,,3298468,18011.0,183.1363,61.0,82.0,0.0,15.0
铜川,,698322,3886.0,179.7,18.0,61.0,0.0,0.0
铜陵,33.0,1311726,2982.0,439.8813,19.0,65.0,1.0,6.0
银川,,2859074,6945.0,411.6737,52.0,206.0,0.0,12.0
锡林郭勒盟,,1107075,199841.0,5.5398,58.0,32.0,2.0,1.0
长沙,28.0,10047914,11819.0,850.1493,54.0,206.0,2.0,22.0
长治,,3180884,13977.0,227.5799,42.0,50.0,1.0,2.0
长白山,,1986339,42229.0,47.04,0.0,0.0,0.0,0.0
阜新,14.0,1647280,10316.0,159.682,5.0,37.0,1.0,5.0
阜阳,28.0,8200264,10118.0,810.4629,54.0,34.0,0.0,12.0
防城港,18.0,1046068,6222.0,168.1241,53.0,54.0,0.0,3.0
阳江,42.0,2602959,7955.27,327.1993,31.0,36.0,0.0,14.0
阳泉,33.0,1318505,4563.0,288.9557,19.0,27.0,2.0,0.0
阿克苏,,2714422,125475.0,21.6332,29.0,80.0,1.0,8.0
阿勒泰,,648173,116840.0,5.5475,135.0,61.0,5.0,19.0
阿坝,,822587,78730.0,10.4482,81.0,82.0,4.0,6.0
